2010;ID;FS2;Capital Expenditure;Non-network assets;Expenditure on non-network assets;nominal;$000s;218;0;135;74,91000366;1678,667969;329;256;455;309;108,3264999;239;718,8530273;97,37000275;194,4300537;55;491;5698;0;2121,833008;85;285;727;-42;2272,452881;1646;2466,885254;38,45220184;17832,40039;0;38490,58203;31599,72266;6890,858398;2010IDCapital ExpenditureNon-network assetsExpenditure on non-network assetsnominal
2010;ID;FS2;Capital Expenditure;Reliability, safety and environment;Total reliability, safety and environment;constant;$000s;1076,275757;2745,814697;582,182251;2098,003418;1392,519409;90,15135193;943,8738403;3606,054199;1632,499878;1271,178467;1636,844482;3836,053955;830,9130859;477,3546753;49,96340179;446,4121399;3210,69165;299,7803955;3129,855225;59,73884964;86,89287567;658,213501;2591,579834;1331,954834;1869,282959;1393,316895;1287,945068;10835,24414;1556,468628;51027,0625;37183,53125;13843,5332;2010IDCapital ExpenditureReliability, safety and environmentTotal reliability, safety and environmentconstant
2010;ID;FS2;Capital Expenditure;Reliability, safety and environment;Total reliability, safety and environment;nominal;$000s;990,8989868;2528;536;1931,577026;1282,056274;83;869;3320;1503;1170,34082;1507;3531,754883;765;439,4880066;46;411;2956;276;2881,575928;55;80;606;2386;1226,296021;1721;1282,790527;1185,777466;9975,726563;1433;46979,28516;34233,90625;12745,37891;2010IDCapital ExpenditureReliability, safety and environmentTotal reliability, safety and environmentnominal
2010;ID;FS2;Capital Expenditure;System Growth;System Growth;constant;$000s;7638,411133;9945,975586;363,8638916;789,7421265;4493,561035;561,545166;1146,985962;5681,70752;44,53259659;26,3926239;3363,840332;5288,432617;233,5245972;367,8340759;5563,315918;3884,111328;14719,65234;670,1612549;30841,15234;15,20625305;2244,008301;8905,433594;3256,310303;8388,822266;34399,80078;15928,21191;327,6749573;1243,043579;1123,090332;171456,3594;121052,625;50403,72656;2010IDCapital ExpenditureSystem GrowthSystem Growthconstant
2010;ID;FS2;Capital Expenditure;System Growth;System Growth;nominal;$000s;7032,48584;9157;335;727,0949707;4137,104492;517;1056;5231;41;24,29899979;3097;4868,921875;215;338,6552429;5122;3576;13552;617;28394,64453;14;2066;8199;2998;7723,370117;31671;14664,68945;301,6817932;1144,437744;1034;157855,375;111449,9844;46405,40234;2010IDCapital ExpenditureSystem GrowthSystem Growthnominal
2010;ID;FS2;Capital Expenditure;Total Capital Expenditure on System Fixed Assets*;Total Capital Expenditure on System Fixed Assets*;constant;$000s;12648,78418;23567,51953;1609,69043;5562,813965;11804,27148;5073,45752;6513,707031;14356,875;2681,731201;3735,175781;14407,9248;15025,93262;1549,95166;4232,263672;6326,887207;11884,77246;39586,21875;6979,669922;87391,52344;1126,348877;7547,731934;19536,77539;8854,383789;37087,30859;123839,7188;31353,98047;3869,587891;20842,88477;6069,467285;535067,3125;405538,0313;129529,3516;2010IDCapital ExpenditureTotal Capital Expenditure on System Fixed Assets*Total Capital Expenditure on System Fixed Assets*constant
2010;ID;FS2;Capital Expenditure;Total Capital Expenditure on System Fixed Assets*;Total Capital Expenditure on System Fixed Assets*;nominal;$000s;11645,40527;21698;1482;5121,537598;10867,88477;4671;5997;13218;2469;3438,878906;13265;13833,98438;1427;3896,534912;5825;10942;36446;6426;80459,09375;1037;6949;17987;8152;34145,31641;114016;28866,79102;3562,628662;19189,5;5588;492622,5313;373368,25;119254,2813;2010IDCapital ExpenditureTotal Capital Expenditure on System Fixed Assets*Total Capital Expenditure on System Fixed Assets*nominal
2010;ID;FS2;Capital Expenditure;Works Under Construction at Beginning of Year;Works Under Construction at Beginning of Year;constant;$000s;2840,239258;8119,052734;0;474,6523132;470,3076782;1834,525757;1630,327515;6255,200684;1179,570679;508,4941711;0;0;332,3652344;1003,163818;1581,450317;735,3309326;13831,17285;1012,301941;5292,862305;558,2866821;621,2840576;15296,4043;1148,072021;14215,67383;74706,14844;19712,19922;0;22148,2207;3059,715332;198567,0156;155523;43044,01953;2010IDCapital ExpenditureWorks Under Construction at Beginning of YearWorks Under Construction at Beginning of Yearconstant
2010;ID;FS2;Capital Expenditure;Works Under Construction at Beginning of Year;Works Under Construction at Beginning of Year;nominal;$000s;2614,934082;7475;0;437;433;1689;1501;5759;1086;468,1573181;0;0;306;923,586731;1456;677;12734;932;4873;514;572;14083;1057;13088;68780;18148,50781;0;20391,28906;2817;182815,4688;143185,9688;39629,50781;2010IDCapital ExpenditureWorks Under Construction at Beginning of YearWorks Under Construction at Beginning of Yearnominal
2010;ID;MP1;Network and Demand;Customer numbers;Average no. of ICPs in disclosure year;NA;number;30441;81129,5;4410;7978,5;36208,5;25366;41982,5;17335;17162;24379,03223;33520,5;23971,5;8975,5;36024;12256,5;53518,5;191232,5;14764,5;316434;6809;24310;33871;30638,5;107848;524621,5;83995,5;23036,5;163479;12699,5;1988398;1622118,5;366279,5;2010IDNetwork and DemandCustomer numbersAverage no. of ICPs in disclosure yearNA
